Summit Horovod test results 20200201

Num. of Nodes	 job id	 Results
	1	 862554	 Failure
	1	 862555	 Failure
	1	 862556	 Success
	1	 862557	 Failure
	1	 862558	 Failure
	1	 862559	 Failure
	1	 862560	 Success
	1	 862561	 Failure
	1	 862562	 Success
	1	 862563	 Failure
	2	 862568	 Success
	2	 862569	 Failure
	2	 862570	 Failure
	2	 862571	 Failure
	2	 862572	 Failure
	2	 862573	 Success
	2	 862574	 Success
	2	 862575	 Failure
	2	 862576	 Failure
	2	 862577	 Failure
	3	 862578	 Failure
	3	 862579	 Failure
	3	 862580	 Failure
	3	 862581	 Failure
	3	 862582	 Failure
	3	 862583	 Failure
	3	 862584	 Failure
	3	 862585	 Failure
	3	 862586	 Failure
	3	 862587	 Failure
	4	 862588	 Failure
	4	 862589	 Failure
	4	 862590	 Failure
	4	 862591	 Failure
	4	 862592	 Failure
	4	 862593	 Failure
	4	 862594	 Failure
	4	 862595	 Success
	4	 862596	 Failure
	4	 862597	 Failure
	16	 862550	 Failure
	16	 862600	 Failure
	16	 862601	 Failure
	16	 862602	 Failure
	16	 862603	 Failure
	16	 862604	 Failure
	16	 862605	 Failure
	16	 862606	 Failure
	16	 862607	 Failure
	16	 862608	 Failure

Total jobs: 50 Success: 7 Failure: 43 

Num. of Nodes	 job id	 Segment fault on nodes
	1	 862554	 ['h50n18']
	1	 862555	 ['f03n03']
	1	 862557	 ['f03n05']
	1	 862558	 ['f03n06']
	1	 862559	 ['f03n07']
	1	 862561	 ['f03n09']
	1	 862563	 ['f15n16']
	2	 862569	 ['f15n12', 'f15n13']
	2	 862570	 ['f15n15', 'f15n14']
	2	 862571	 ['f15n17']
	2	 862572	 ['f15n18']
	2	 862575	 ['f16n07']
	2	 862576	 ['f16n08', 'f16n09']
	2	 862577	 ['f16n10']
	3	 862578	 ['f16n13']
	3	 862579	 ['f16n14', 'f16n15']
	3	 862580	 ['f16n18']
	3	 862581	 ['h35n14']
	3	 862582	 ['h12n12']
	3	 862583	 ['h12n15', 'h12n14', 'h12n13']
	3	 862584	 ['h12n16']
	3	 862585	 ['h13n02']
	3	 862586	 ['h13n06']
	3	 862587	 ['h13n09', 'h13n08']
	4	 862588	 ['h13n11', 'h13n12']
	4	 862589	 ['h13n18']
	4	 862590	 ['h14n02', 'h14n13']
	4	 862591	 ['h14n17']
	4	 862592	 ['h15n03', 'h15n02']
	4	 862593	 ['g36n12', 'g36n10']
	4	 862594	 ['g36n14', 'g36n16']
	4	 862596	 ['f15n14', 'f15n13']
	4	 862597	 ['h12n08']
	16	 862550	 ['f03n07', 'f03n06', 'f03n04', 'f03n12', 'f03n03']
	16	 862600	 ['g36n03', 'g36n05', 'g36n04', 'g36n07']
	16	 862601	 ['h12n14', 'f16n14', 'h12n13', 'f16n15', 'f17n01', 'h12n15', 'f16n16', 'f16n11']
	16	 862602	 ['g35n18']
	16	 862603	 ['h15n04', 'h13n12', 'h13n18', 'h14n02', 'f03n10', 'h14n13', 'h13n15']
	16	 862604	 ['g36n12', 'f15n11', 'g36n13', 'g36n10', 'f15n13', 'f03n04', 'g36n14', 'h35n14', 'g36n15', 'f15n12']
	16	 862605	 ['f16n18', 'h12n14', 'f16n11', 'h12n10', 'f16n14']
	16	 862606	 ['h14n01', 'h14n13', 'h13n13', 'h13n18', 'f15n17', 'f15n16', 'f03n10', 'h13n12', 'h14n12', 'h13n11', 'h13n15', 'h14n14', 'h12n08', 'h14n02']
	16	 862607	 ['f16n06']
	16	 862608	 ['h13n05', 'h12n17', 'h14n16', 'g36n01', 'g35n18', 'h13n10', 'h13n01', 'h13n02', 'h13n07']
